text,label
친구가와(과)의 추억이 떠올라 마음이 아팠다.,슬픔
미래에 대한 불안감 때문에 마음이 답답하다.,우울
계획이 계속 틀어져서 너무 짜증나고 화가 난다.,분노
내 의견이 완전히 무시당해서 억울하고 분노가 치밀었다.,분노
지하철에서 문득 혼자라는 생각에 눈물이 났다.,슬픔
친구가 나를 위해 작은 선물을 준비해서 감동받았다.,사랑
기대했던 약속이 취소되어서 너무 서운하고 슬펐다.,슬픔
카페에서 뜻밖에 좋은 소식을 들어서 하루 종일 기분이 좋았다.,기쁨
오랫동안 노력했던 일이 드디어 결실을 맺어서 너무 행복하다.,기쁨
공원에서 무례한 사람을 만나서 기분이 상했다.,분노
오늘 산책을 했다 정말 즐거웠다.,기쁨
요즘 계속 무기력하고 아무것도 하기 싫은 기분이다.,우울
따뜻한 눈빛과 다정한 말 한마디에 사랑받고 있음을 느꼈다.,사랑
날씨 때문인지 하루 종일 기분이 가라앉고 우울했다.,우울
힘들 때 곁에서 위로해주는 사람이 있어서 정말 든든하고 사랑을 느꼈다.,사랑
우리의 소중한 순간들을 떠올리니 사랑스러운 마음이 가득 찼다.,사랑
아끼던 물건을 잃어버려서 너무 속상하다.,슬픔
상사가 말도 안 되는 일로 트집을 잡아서 화가 머리 끝까지 났다.,분노
혼자 음악을 들었다 계속 우울한 생각만 들었다.,우울
연인이 칭찬해줘서 날아갈 것 같아.,기쁨
퇴근하고 운동을 하니 개운했다,기쁨
일어나자마자 마신 커피가 정말 맛있었다,기쁨
점심으로 맛있는 파스타를 먹어서 기분이 좋았다,기쁨
저녁 약속이 갑자기 취소되어 서운했다,슬픔
출근길 지하철에 사람이 너무 많아 힘들었다,분노
동료와 잠시 나눈 수다가 즐거웠다,기쁨
아침에 상쾌하게 일어났다,기쁨
오후 회의가 길어져서 너무 지쳤다,우울
하루 종일 쌓인 스트레스에 화가 났다,분노
